gnode_lon,gnode_lat,gnode_name
-1.84951,57.57418,SFEG
-4.1206,56.3946,SFILDM
-4.26053,55.84403,SANX
-4.08078,55.75309,STHA
-4.56202,55.96095,STLE
-2.07023,57.58682,STRIDW
-2.78839,57.1514,TARL
-5.21426,56.43039,TAYNDW
-3.24337,55.96161,TELR
-4.03475,54.85974,TONGDM
-4.02375,56.70624,TUMBDM
-4.2651,55.863,WGEO
-3.29876,56.16384,WFIEDM
-3.20176,55.93129,WHHO
-2.09751,57.15384,WIOW
-2.14709,57.15379,WOHI
-3.07617,53.23034,DEESDM
2.7297,53.3421,CASK
-1.116691,54.606477,CORR
-1.22683,51.6607,CULJ
-1.149598,54.581721,GRTO
-3.12898,51.48146,TREM
-2.90742,51.56488,WHSO
-1.131708,54.575826,WILT
-4.63817,55.58377,MEAD
-3.293114,56.1055997,MOSW
-1.84951,57.57418,SFEM
-4.84166,56.08972,WHTL
-1.07584,51.33557,BRL3
-1.07584,51.33557,BRL1
-1.07584,51.33557,BRL2
-0.05792,51.48412,NEW1
-0.05792,51.48412,NEWX
-2.94786,53.2685,CAPE
-2.811139,53.277739,INCE
-1.53101,55.14106,BLY1DM
-1.604966,55.228725,LINT
-1.44215,53.40046,PIT1
-1.44215,53.40046,PIT2
0.97783,51.10592,SEL1
0.97783,51.10592,SEL2
-0.32112,51.34358,CHS2
-0.32112,51.34358,CHS3
-0.34377,51.661,ELS2
-0.34377,51.661,ELSA
-0.342297997,51.660005,STMO
0.74318,51.36774,KEM1
0.749608,51.436756,SHEE
0.3954,51.45976,TIL1
0.3954,51.45976,TIL2
-2.40573,53.43601,CAR2
-2.40573,53.43601,CAR1DM
-3.07263,53.22755,CON1DM
-3.07263,53.22755,CON1DV
-1.85091,52.50647,NEC2
-1.85091,52.50647,NEC1DM
-4.01407,55.8516,COAX
-4.01407,55.8516,COATDW
-4.36533,55.82121,CROO
-4.36533,55.82121,CROX
-3.5913,55.06763,DUMX
-3.5913,55.06763,DUMY
-3.5913,55.06763,DUMFDW
-3.69399,56.00463,GRMO
-3.69399,56.00463,GRMX
-4.41049,55.9189,KILB
-4.376904,55.930273,KILX
-4.79668,55.6469,SACX
-4.79668,55.6469,SACODW
-1.31903,53.44523,ALD1
-1.31903,53.44523,ALD2
-1.39307,53.40087,TIN1
-1.39307,53.40087,TIN2
-0.4144914,53.8009731,CRSE
-0.4144914,53.8009731,CRSE
0.244391,51.460622,LITT
0.244391,51.460622,LITT
-2.989774208,53.87966201,STAH
-0.257050264,51.53495051,WSD6
-0.257050264,51.53495051,WSD6
-0.257050264,51.53495051,WSD6
-0.257050264,51.53495051,WSD6
-0.257050264,51.53495051,WSD6
-0.257050264,51.53495051,WSD6
-0.655116209,51.66424942,AMEM
-0.655116209,51.66424942,AMEM
1.062822573,52.07018187,BRFODW
1.094176117,51.29233519,CANT
1.094176117,51.29233519,CANT
1.27176,52.57327,NORMDW
0.198926176,52.72774811,WALPDM
0.198926176,52.72774811,WALPDM
-1.724488264,54.97805729,STEL
-1.724488264,54.97805729,STEL
-2.964416544,54.94152557,HAR1DM
-2.888958664,54.03269168,HEYSDM
-2.888958664,54.03269168,HEYSDM
-4.922002162,56.27712554,CLACDM
-4.922002162,56.27712554,CLACDM
-2.150383477,51.39181465,MELK
-2.150383477,51.39181465,MELK
-2.150383477,51.39181465,MELK
-3.72183,56.01141,BPGR
-3.72183,56.01141,BPGR
